data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8789998,804,UKR50695,50695,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Donbass People's Militia",2,12,Europe,Ukraine,Donetsk,Donetskyi,Donetska,Oleksandrivka,47.9225,37.5710,2,"DPR Armed Forces Press Service",Other,"On 12 January 2022, the Ukrainian Forces fired grenade launchers at the positions of the Donbass People's Militia near Oleksandrivka, Donetsk. Casualties unknown.",0,1642524192,UKR
8790042,804,UKR50750,50750,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Hirska,Prychepylivka,48.7574,38.6912,2,"JFO HQ press centre",Other,"On 12 January 2022, the NAF rebel forces fired grenade launchers at the governmental positions near Prychepylivka, Luhansk. During the day, one Ukrainian soldier was wounded at an unspecified location.",0,1642524193,UKR
8790043,804,UKR50749,50749,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,"Military Forces of Ukraine (2019-)",,1,12,Europe,Ukraine,Luhansk,Sievierodonetskyi,Popasnianska,Novozvanivka,48.5837,38.3572,2,"JFO HQ press centre",Other,"On 12 January 2022, the NAF rebel forces fired 120mm mortars at the governmental positions near Novozvanivka, Luhansk. During the day, one Ukrainian soldier was wounded at an unspecified location.",0,1642524193,UKR
8790063,804,UKR50706,50706,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,"NAF: United Armed Forces of Novorossiya","Luhansk People's Militia",2,12,Europe,Ukraine,Luhansk,Alchevskyi,Kadiivska,Donetskyi,48.6963,38.6738,2,"LPR People's Militia Press Service",Other,"On 12 January 2022, the Ukrainian Forces fired 120mm mortars, heavy machine guns and grenade launchers at the positions of the Luhansk People's Militia near Donetskyi, Luhansk. As a result of the shelling, one residential building was damaged. There were no injuries or fatalities.",0,1642524193,UKR
8790097,804,UKR50723,50723,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Bakhmutskyi,Svitlodarska,Lozove,48.3844,38.2312,2,"OSCE SMM-Ukraine",Other,"On 12 January 2022, the OSCE SMM observed a total of 62 explosions involving unknown weapons near Lozove.",0,1642524193,UKR
8790098,804,UKR50763,50763,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,,,0,20,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Berdyanske,47.0896,37.7840,2,"OSCE SMM-Ukraine",Other,"On 12 January 2022, the OSCE SMM observed a total of 1 projectiles involving unknown weapons near Berdyanske.",0,1642524193,UKR
8790099,804,UKR50721,50721,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Kalmiuskyi,Novoazovska,Kulykove,47.2281,37.8768,2,"OSCE SMM-Ukraine",Other,"On 12 January 2022, the OSCE SMM observed a total of 4 explosions involving unknown weapons near Kulykove.",0,1642524193,UKR
8790102,804,UKR50764,50764,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","NAF: United Armed Forces of Novorossiya",,2,,,0,20,Europe,Ukraine,Donetsk,Pokrovskyi,Ocheretynska,Kamyanka,48.1740,37.7863,2,"OSCE SMM-Ukraine",Other,"On 12 January 2022, the OSCE SMM observed a total of 12 explosions involving unknown weapons near Kamyanka.",0,1642524193,UKR
8790104,804,UKR50717,50717,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Mariupolskyi,Sartanska,Novovyboeve,47.1951,37.8466,2,"OSCE SMM-Ukraine",Other,"On 12 January 2022, the OSCE SMM observed a total of 2 explosions involving unknown weapons near Novovyboeve.",0,1642524193,UKR
8790110,804,UKR50715,50715,2022-01-12,2022,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,1,,,0,10,Europe,Ukraine,Donetsk,Kalmiuskyi,Starobeshivska,Petrovskoye,47.6305,37.8428,2,"OSCE SMM-Ukraine",Other,"On 12 January 2022, the OSCE SMM observed a total of 1 explosions involving unknown weapons near Petrovskoye.",0,1642524193,UKR
